City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,cadereyta,25.5833,-99.9833,87.48,42,51,6.17,MX,1683667267
335,kasoa,5.533,-0.4224,84.65,79,70,6.38,GH,1683667267
336,kamloops,50.6665,-120.3192,63.59,58,75,4.0,CA,1683667019
337,labrador city,52.9463,-66.9114,31.91,47,100,8.05,CA,1683667267
338,balabac,7.9868,117.0645,81.61,80,77,4.09,PH,1683667268
339,doka,13.5167,35.7667,89.98,9,13,13.44,SD,1683667268
340,sabang,5.8933,95.3214,83.93,71,100,18.72,ID,1683667268
341,quellon,-43.1167,-73.6167,53.85,100,100,0.0,CL,1683667087
342,sur,22.5667,59.5289,86.83,43,48,10.31,OM,1683667268
343,karachi,24.9056,67.0822,78.62,89,0,8.05,PK,1683667269
344,nagqu,31.5,92.0,31.32,53,100,7.61,CN,1683667269
345,alofi,-19.0595,-169.9187,80.49,83,75,11.5,NU,1683667269
346,i-n-salah,27.1935,2.4607,83.08,16,99,15.73,DZ,1683667269
347,la sarre,48.8002,-79.1996,59.09,36,4,5.77,CA,1683667270
348,badger,64.8,-147.5333,52.05,33,75,5.75,US,1683667270
349,hamilton,39.1834,-84.5333,76.91,41,0,11.5,US,1683666710
350,novaya igirma,57.1334,103.9112,46.42,94,80,3.04,RU,1683667270
351,mincivan,39.0294,46.7185,59.68,86,100,1.59,AZ,1683667270
352,solhan,38.9634,41.0293,48.7,73,1,1.83,TR,1683667271
353,zhongshu,24.5167,103.7667,60.93,97,88,3.62,CN,1683667271
354,carnarvon,-24.8667,113.6333,69.35,86,100,8.1,AU,1683667271
355,charcas,23.1333,-101.1167,83.37,10,0,17.16,MX,1683667271
356,quila,24.4228,-107.22,96.66,11,99,13.27,MX,1683667271
357,tarifa,36.0139,-5.607,78.75,77,92,10.96,ES,1683667272
358,solwezi,-12.1688,26.3894,56.34,68,92,3.47,ZM,1683667272
359,newman,37.3138,-121.0208,72.28,36,100,8.99,US,1683667272
360,ugoofaaru,5.6667,73.0,83.57,77,97,9.84,MV,1683667272
361,tingo maria,-9.2895,-76.0088,77.85,71,82,1.63,PE,1683667272
362,essaouira,31.5125,-9.77,70.54,68,0,26.46,MA,1683667010
363,deqen,29.9618,90.7188,39.31,47,78,5.44,CN,1683667278
364,el hadjira,32.6134,5.5126,75.15,29,34,8.75,DZ,1683667278
365,nova sintra,14.8667,-24.7167,68.5,80,1,13.51,CV,1683667278
